order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at,date,time_order
64,91,962,160,1,debit,03/01/2017 19:05,01/03/2017,7:05 PM
65,72,887,480,3,credit_card,03/02/2017 0:15,02/03/2017,12:15 AM
66,7,988,112,1,debit,03/29/2017 10:22,29/03/2017,10:22 AM
67,66,743,322,2,cash,03/01/2017 10:40,01/03/2017,10:40 AM
68,21,812,284,2,debit,03/03/2017 15:52,03/03/2017,3:52 PM
69,86,994,390,3,credit_card,03/21/2017 22:05,21/03/2017,10:05 PM
70,58,876,138,1,debit,03/04/2017 10:38,04/03/2017,10:38 AM
71,11,725,184,1,credit_card,03/14/2017 17:12,14/03/2017,5:12 PM
72,34,813,122,1,credit_card,03/20/2017 17:43,20/03/2017,5:43 PM
73,86,960,130,1,debit,03/04/2017 14:15,04/03/2017,2:15 PM
74,14,968,116,1,cash,03/22/2017 0:14,22/03/2017,12:14 AM
75,5,862,142,1,credit_card,03/26/2017 9:14,26/03/2017,9:14 AM
76,84,744,459,3,cash,03/06/2017 0:39,06/03/2017,12:39 AM
77,20,975,127,1,cash,03/19/2017 13:05,19/03/2017,1:05 PM
78,41,985,354,3,cash,03/22/2017 13:41,22/03/2017,1:41 PM
79,8,806,132,1,credit_card,03/27/2017 3:39,27/03/2017,3:39 AM
80,20,838,254,2,credit_card,03/03/2017 14:00,03/03/2017,2:00 PM
81,52,979,584,4,credit_card,03/11/2017 14:30,11/03/2017,2:30 PM
82,28,868,328,2,debit,03/04/2017 6:53,04/03/2017,6:53 AM
83,48,857,234,2,cash,03/11/2017 18:14,11/03/2017,6:14 PM
84,100,817,111,1,cash,03/12/2017 22:10,12/03/2017,10:10 PM
85,41,707,118,1,debit,03/30/2017 12:05,30/03/2017,12:05 PM
86,53,908,224,2,credit_card,03/27/2017 20:46,27/03/2017,8:46 PM
87,56,711,234,2,credit_card,03/17/2017 2:08,17/03/2017,2:08 AM
88,64,713,399,3,credit_card,03/04/2017 12:15,04/03/2017,12:15 PM
89,55,998,513,3,credit_card,03/09/2017 13:22,09/03/2017,1:22 PM
90,28,705,164,1,cash,03/11/2017 18:13,11/03/2017,6:13 PM
91,50,744,193,1,debit,03/02/2017 6:36,02/03/2017,6:36 AM
92,3,835,296,2,credit_card,03/09/2017 4:01,09/03/2017,4:01 AM
93,22,856,146,1,credit_card,03/24/2017 11:47,24/03/2017,11:47 AM
94,58,810,276,2,debit,03/07/2017 4:27,07/03/2017,4:27 AM
95,87,961,149,1,cash,03/21/2017 3:20,21/03/2017,3:20 AM
96,35,975,328,2,credit_card,03/01/2017 6:27,01/03/2017,6:27 AM
97,70,758,346,2,cash,03/07/2017 14:57,07/03/2017,2:57 PM
98,92,850,180,2,cash,03/22/2017 19:21,22/03/2017,7:21 PM
99,79,741,181,1,debit,03/16/2017 0:16,16/03/2017,12:16 AM
100,18,752,780,5,cash,03/06/2017 23:41,06/03/2017,11:41 PM
101,77,972,156,1,credit_card,03/17/2017 6:45,17/03/2017,6:45 AM
102,74,923,612,4,credit_card,03/28/2017 11:00,28/03/2017,11:00 AM
103,41,964,354,3,cash,03/17/2017 7:59,17/03/2017,7:59 AM
104,53,740,224,2,cash,03/17/2017 7:29,17/03/2017,7:29 AM
105,54,803,532,4,cash,03/28/2017 5:30,28/03/2017,5:30 AM
106,13,746,320,2,cash,03/16/2017 15:04,16/03/2017,3:04 PM
107,87,953,149,1,cash,03/17/2017 8:03,17/03/2017,8:03 AM
108,12,732,201,1,credit_card,03/21/2017 20:26,21/03/2017,8:26 PM
109,58,926,276,2,cash,03/01/2017 3:15,01/03/2017,3:15 AM
110,58,774,414,3,cash,03/01/2017 10:01,01/03/2017,10:01 AM
111,83,893,129,1,cash,03/27/2017 7:07,27/03/2017,7:07 AM
112,68,984,136,1,credit_card,03/11/2017 9:43,11/03/2017,9:43 AM
113,73,885,165,1,debit,03/06/2017 0:59,06/03/2017,12:59 AM
114,69,857,262,2,credit_card,03/13/2017 21:33,13/03/2017,9:33 PM
115,41,755,590,5,cash,03/20/2017 23:15,20/03/2017,11:15 PM
116,25,791,260,2,credit_card,03/19/2017 21:46,19/03/2017,9:46 PM
117,6,813,374,2,debit,03/10/2017 14:25,10/03/2017,2:25 PM
118,61,759,316,2,debit,03/29/2017 22:43,29/03/2017,10:43 PM
119,84,789,153,1,credit_card,03/05/2017 4:08,05/03/2017,4:08 AM
120,98,745,266,2,credit_card,03/17/2017 20:34,17/03/2017,8:34 PM
121,5,774,284,2,credit_card,03/26/2017 8:16,26/03/2017,8:16 AM
122,13,958,480,3,credit_card,03/22/2017 13:12,22/03/2017,1:12 PM
123,35,997,492,3,debit,03/05/2017 1:16,05/03/2017,1:16 AM
124,24,949,280,2,cash,03/11/2017 1:58,11/03/2017,1:58 AM
125,2,983,188,2,credit_card,03/13/2017 13:07,13/03/2017,1:07 PM
126,49,884,258,2,cash,03/19/2017 3:22,19/03/2017,3:22 AM
127,18,839,624,4,debit,03/09/2017 10:47,09/03/2017,10:47 AM
128,77,817,312,2,credit_card,03/05/2017 18:46,05/03/2017,6:46 PM
129,63,963,544,4,debit,03/25/2017 5:52,25/03/2017,5:52 AM
130,51,721,561,3,debit,03/14/2017 3:54,14/03/2017,3:54 AM
131,75,723,256,2,debit,03/28/2017 6:01,28/03/2017,6:01 AM
132,33,777,346,2,debit,03/13/2017 18:46,13/03/2017,6:46 PM
133,53,963,224,2,credit_card,03/03/2017 2:32,03/03/2017,2:32 AM
134,24,894,280,2,credit_card,03/08/2017 4:56,08/03/2017,4:56 AM
135,86,845,390,3,cash,03/27/2017 9:54,27/03/2017,9:54 AM
136,58,742,276,2,debit,03/19/2017 17:25,19/03/2017,5:25 PM
137,15,961,765,5,credit_card,03/26/2017 5:06,26/03/2017,5:06 AM
138,34,760,122,1,debit,03/30/2017 17:31,30/03/2017,5:31 PM
139,5,915,426,3,cash,03/28/2017 0:09,28/03/2017,12:09 AM
140,55,789,513,3,debit,03/29/2017 16:36,29/03/2017,4:36 PM
141,57,930,441,3,debit,03/15/2017 12:36,15/03/2017,12:36 PM
142,73,935,165,1,cash,03/26/2017 14:23,26/03/2017,2:23 PM
143,80,855,145,1,debit,03/11/2017 1:13,11/03/2017,1:13 AM
144,80,979,290,2,debit,03/30/2017 10:41,30/03/2017,10:41 AM
145,21,828,284,2,debit,03/18/2017 20:13,18/03/2017,8:13 PM
146,72,906,640,4,cash,03/30/2017 9:55,30/03/2017,9:55 AM
147,100,899,111,1,debit,03/05/2017 16:49,05/03/2017,4:49 PM
148,57,715,294,2,credit_card,03/17/2017 7:01,17/03/2017,7:01 AM
149,71,985,164,1,credit_card,03/04/2017 17:21,04/03/2017,5:21 PM
150,100,847,222,2,debit,03/12/2017 21:36,12/03/2017,9:36 PM
151,47,718,435,3,credit_card,03/06/2017 5:24,06/03/2017,5:24 AM
152,16,755,156,1,credit_card,03/03/2017 23:20,03/03/2017,11:20 PM
153,33,808,173,1,cash,03/13/2017 22:14,13/03/2017,10:14 PM
154,64,942,266,2,cash,03/21/2017 7:05,21/03/2017,7:05 AM
155,33,872,173,1,debit,03/29/2017 14:56,29/03/2017,2:56 PM
156,9,986,118,1,cash,03/13/2017 11:07,13/03/2017,11:07 AM
157,84,734,306,2,credit_card,03/04/2017 8:05,04/03/2017,8:05 AM
158,88,906,352,2,credit_card,03/24/2017 5:44,24/03/2017,5:44 AM
159,92,795,90,1,credit_card,03/29/2017 3:07,29/03/2017,3:07 AM
160,73,725,330,2,debit,03/22/2017 18:08,22/03/2017,6:08 PM
161,78,990,25725,1,credit_card,03/12/2017 5:56,12/03/2017,5:56 AM
162,3,877,296,2,debit,03/20/2017 17:07,20/03/2017,5:07 PM
163,93,913,228,2,cash,03/26/2017 23:54,26/03/2017,11:54 PM
164,63,915,272,2,debit,03/01/2017 6:07,01/03/2017,6:07 AM
165,29,941,489,3,cash,03/09/2017 16:26,09/03/2017,4:26 PM
166,44,921,144,1,credit_card,03/26/2017 23:17,26/03/2017,11:17 PM
167,14,754,464,4,debit,03/07/2017 19:47,07/03/2017,7:47 PM
168,56,913,468,4,credit_card,03/11/2017 19:37,11/03/2017,7:37 PM
169,48,797,351,3,credit_card,03/08/2017 6:12,08/03/2017,6:12 AM
170,5,970,284,2,debit,03/24/2017 0:33,24/03/2017,12:33 AM
171,91,828,480,3,credit_card,03/28/2017 8:18,28/03/2017,8:18 AM
172,57,724,147,1,debit,03/17/2017 7:08,17/03/2017,7:08 AM
173,55,778,342,2,cash,03/02/2017 23:54,02/03/2017,11:54 PM
174,7,956,224,2,debit,03/04/2017 11:33,04/03/2017,11:33 AM
175,49,918,387,3,debit,03/13/2017 15:25,13/03/2017,3:25 PM
176,50,792,193,1,credit_card,03/20/2017 13:51,20/03/2017,1:51 PM
177,97,718,648,4,cash,03/16/2017 6:33,16/03/2017,6:33 AM
178,57,849,441,3,cash,03/20/2017 5:20,20/03/2017,5:20 AM
179,30,849,153,1,debit,03/25/2017 4:09,25/03/2017,4:09 AM
180,37,897,142,1,debit,03/02/2017 22:40,02/03/2017,10:40 PM
181,12,871,201,1,cash,03/02/2017 4:37,02/03/2017,4:37 AM
182,20,823,127,1,cash,03/03/2017 16:29,03/03/2017,4:29 PM
183,86,901,260,2,credit_card,03/16/2017 17:47,16/03/2017,5:47 PM
184,26,920,176,1,cash,03/08/2017 0:38,08/03/2017,12:38 AM
185,34,944,488,4,debit,03/24/2017 5:49,24/03/2017,5:49 AM
186,71,888,328,2,debit,03/30/2017 5:46,30/03/2017,5:46 AM
187,93,749,228,2,credit_card,03/06/2017 3:43,06/03/2017,3:43 AM
188,41,980,118,1,cash,03/02/2017 3:13,02/03/2017,3:13 AM
189,17,734,176,1,cash,03/11/2017 10:36,11/03/2017,10:36 AM
190,43,928,362,2,debit,03/30/2017 7:00,30/03/2017,7:00 AM
191,7,805,112,1,credit_card,03/22/2017 5:28,22/03/2017,5:28 AM
192,26,922,352,2,cash,03/17/2017 17:51,17/03/2017,5:51 PM
193,28,879,328,2,credit_card,03/15/2017 14:35,15/03/2017,2:35 PM
194,15,942,153,1,cash,03/13/2017 14:19,13/03/2017,2:19 PM
195,63,946,408,3,cash,03/12/2017 0:07,12/03/2017,12:07 AM
196,37,745,426,3,credit_card,03/01/2017 3:00,01/03/2017,3:00 AM
197,85,809,516,3,debit,03/21/2017 10:58,21/03/2017,10:58 AM
198,19,960,326,2,debit,03/05/2017 20:01,05/03/2017,8:01 PM
199,27,976,338,2,credit_card,03/24/2017 16:25,24/03/2017,4:25 PM
200,56,961,117,1,cash,03/08/2017 22:18,08/03/2017,10:18 PM
201,29,929,163,1,credit_card,03/15/2017 11:12,15/03/2017,11:12 AM
202,31,967,258,2,credit_card,03/04/2017 20:47,04/03/2017,8:47 PM
203,67,768,393,3,cash,03/28/2017 7:25,28/03/2017,7:25 AM
204,36,785,260,2,credit_card,03/22/2017 19:20,22/03/2017,7:20 PM
205,39,987,268,2,cash,03/19/2017 5:09,19/03/2017,5:09 AM
206,89,747,588,3,debit,03/04/2017 4:01,04/03/2017,4:01 AM
207,16,746,156,1,cash,03/09/2017 21:53,09/03/2017,9:53 PM
208,88,999,176,1,debit,03/08/2017 11:30,08/03/2017,11:30 AM
209,88,771,176,1,cash,03/10/2017 5:17,10/03/2017,5:17 AM
210,37,727,284,2,debit,03/20/2017 11:06,20/03/2017,11:06 AM
211,13,701,160,1,credit_card,03/04/2017 8:20,04/03/2017,8:20 AM
212,22,712,292,2,credit_card,03/30/2017 9:40,30/03/2017,9:40 AM
213,88,787,352,2,credit_card,03/13/2017 17:28,13/03/2017,5:28 PM
214,26,980,352,2,cash,03/10/2017 13:59,10/03/2017,1:59 PM
215,54,742,399,3,credit_card,03/27/2017 3:28,27/03/2017,3:28 AM
216,41,793,236,2,cash,03/17/2017 1:55,17/03/2017,1:55 AM
217,32,862,202,2,debit,03/09/2017 16:46,09/03/2017,4:46 PM
218,15,960,306,2,credit_card,03/27/2017 10:44,27/03/2017,10:44 AM
219,75,978,256,2,cash,03/04/2017 7:50,04/03/2017,7:50 AM
220,23,884,780,5,credit_card,03/03/2017 20:11,03/03/2017,8:11 PM
221,21,994,142,1,cash,03/03/2017 4:18,03/03/2017,4:18 AM
222,57,753,147,1,debit,03/23/2017 7:14,23/03/2017,7:14 AM
223,96,829,765,5,debit,03/13/2017 15:16,13/03/2017,3:16 PM
224,68,767,272,2,credit_card,03/07/2017 9:58,07/03/2017,9:58 AM
225,29,927,163,1,debit,03/02/2017 21:18,02/03/2017,9:18 PM
226,98,734,133,1,cash,03/08/2017 21:43,08/03/2017,9:43 PM
227,58,928,138,1,cash,03/18/2017 12:59,18/03/2017,12:59 PM
228,73,917,330,2,debit,03/19/2017 22:59,19/03/2017,10:59 PM
229,92,757,90,1,debit,03/13/2017 23:57,13/03/2017,11:57 PM
230,79,772,362,2,cash,03/28/2017 7:21,28/03/2017,7:21 AM
231,68,865,272,2,cash,03/04/2017 19:40,04/03/2017,7:40 PM
232,27,730,338,2,cash,03/03/2017 5:49,03/03/2017,5:49 AM
233,6,865,374,2,cash,03/08/2017 4:40,08/03/2017,4:40 AM
234,95,761,336,2,credit_card,03/29/2017 1:14,29/03/2017,1:14 AM
235,29,719,326,2,cash,03/22/2017 21:56,22/03/2017,9:56 PM
236,60,938,531,3,debit,03/29/2017 13:49,29/03/2017,1:49 PM
237,92,837,180,2,credit_card,03/18/2017 20:51,18/03/2017,8:51 PM
238,99,835,585,3,debit,03/03/2017 17:45,03/03/2017,5:45 PM
239,2,932,188,2,debit,03/17/2017 0:45,17/03/2017,12:45 AM
240,68,967,136,1,cash,03/09/2017 13:15,09/03/2017,1:15 PM
241,88,876,176,1,credit_card,03/08/2017 18:10,08/03/2017,6:10 PM
242,34,953,244,2,debit,03/01/2017 12:27,01/03/2017,12:27 PM
243,38,881,570,3,credit_card,03/13/2017 19:44,13/03/2017,7:44 PM
244,93,861,114,1,credit_card,03/03/2017 5:19,03/03/2017,5:19 AM
245,32,928,202,2,cash,03/30/2017 9:30,30/03/2017,9:30 AM
246,92,890,360,4,cash,03/18/2017 17:42,18/03/2017,5:42 PM
247,62,786,160,1,cash,03/12/2017 23:19,12/03/2017,11:19 PM
248,26,854,176,1,debit,03/21/2017 19:08,21/03/2017,7:08 PM
249,33,728,173,1,cash,03/29/2017 22:04,29/03/2017,10:04 PM
250,77,732,156,1,debit,03/20/2017 4:20,20/03/2017,4:20 AM
251,96,932,306,2,credit_card,03/14/2017 5:28,14/03/2017,5:28 AM
252,75,892,256,2,debit,03/24/2017 23:34,24/03/2017,11:34 PM
253,76,746,310,2,cash,03/06/2017 15:21,06/03/2017,3:21 PM
254,100,753,222,2,debit,03/04/2017 11:23,04/03/2017,11:23 AM
255,18,843,156,1,credit_card,03/21/2017 0:14,21/03/2017,12:14 AM
256,6,794,187,1,cash,03/18/2017 19:59,18/03/2017,7:59 PM
257,79,844,362,2,credit_card,03/07/2017 20:21,07/03/2017,8:21 PM
258,6,842,374,2,credit_card,03/18/2017 10:12,18/03/2017,10:12 AM
259,75,760,512,4,cash,03/18/2017 8:19,18/03/2017,8:19 AM
260,99,963,780,4,credit_card,03/25/2017 11:41,25/03/2017,11:41 AM
261,52,830,146,1,credit_card,03/13/2017 18:19,13/03/2017,6:19 PM
262,17,775,176,1,credit_card,03/24/2017 14:06,24/03/2017,2:06 PM
263,9,871,236,2,debit,03/17/2017 0:50,17/03/2017,12:50 AM
264,97,827,324,2,debit,03/03/2017 1:06,03/03/2017,1:06 AM
265,16,950,780,5,credit_card,03/24/2017 7:32,24/03/2017,7:32 AM
266,69,871,262,2,debit,03/20/2017 16:59,20/03/2017,4:59 PM
267,12,879,201,1,cash,03/14/2017 12:22,14/03/2017,12:22 PM
268,73,790,330,2,credit_card,03/19/2017 19:03,19/03/2017,7:03 PM
269,56,733,234,2,credit_card,03/07/2017 3:50,07/03/2017,3:50 AM
270,6,986,187,1,credit_card,03/18/2017 20:16,18/03/2017,8:16 PM
271,33,926,173,1,debit,03/17/2017 9:08,17/03/2017,9:08 AM
272,12,727,402,2,credit_card,03/24/2017 22:40,24/03/2017,10:40 PM
273,32,839,202,2,debit,03/14/2017 5:00,14/03/2017,5:00 AM
274,34,803,122,1,cash,03/03/2017 9:05,03/03/2017,9:05 AM
275,5,967,426,3,cash,03/03/2017 7:38,03/03/2017,7:38 AM
276,55,989,171,1,credit_card,03/25/2017 15:16,25/03/2017,3:16 PM
277,49,777,129,1,cash,03/30/2017 21:49,30/03/2017,9:49 PM
278,51,954,374,2,credit_card,03/17/2017 4:59,17/03/2017,4:59 AM
279,54,763,266,2,cash,03/29/2017 5:18,29/03/2017,5:18 AM
280,4,869,128,1,credit_card,03/05/2017 8:27,05/03/2017,8:27 AM
281,90,807,534,3,debit,03/27/2017 23:41,27/03/2017,11:41 PM
282,6,836,561,3,debit,03/14/2017 2:26,14/03/2017,2:26 AM
283,71,700,492,3,cash,03/26/2017 4:43,26/03/2017,4:43 AM
284,9,772,354,3,debit,03/04/2017 13:49,04/03/2017,1:49 PM
285,64,711,399,3,debit,03/11/2017 20:07,11/03/2017,8:07 PM
286,77,742,156,1,cash,03/14/2017 2:40,14/03/2017,2:40 AM
287,58,860,414,3,debit,03/15/2017 21:12,15/03/2017,9:12 PM
288,54,945,266,2,credit_card,03/23/2017 17:42,23/03/2017,5:42 PM
289,47,806,290,2,debit,03/24/2017 17:51,24/03/2017,5:51 PM
290,50,803,386,2,debit,03/30/2017 5:45,30/03/2017,5:45 AM
291,33,858,346,2,credit_card,03/12/2017 8:03,12/03/2017,8:03 AM
292,5,890,142,1,credit_card,03/29/2017 21:22,29/03/2017,9:22 PM
293,19,936,326,2,cash,03/21/2017 3:53,21/03/2017,3:53 AM
294,51,918,561,3,cash,03/14/2017 13:22,14/03/2017,1:22 PM
295,11,738,184,1,cash,03/06/2017 10:03,06/03/2017,10:03 AM
296,38,835,190,1,debit,03/21/2017 6:36,21/03/2017,6:36 AM
297,79,791,181,1,credit_card,03/22/2017 17:03,22/03/2017,5:03 PM
298,70,818,346,2,debit,03/04/2017 17:30,04/03/2017,5:30 PM
299,53,928,112,1,credit_card,03/12/2017 19:19,12/03/2017,7:19 PM
300,29,964,489,3,debit,03/11/2017 4:36,11/03/2017,4:36 AM
301,70,882,173,1,credit_card,03/17/2017 2:51,17/03/2017,2:51 AM
302,69,854,131,1,debit,03/19/2017 18:35,19/03/2017,6:35 PM
303,25,815,390,3,cash,03/09/2017 22:00,09/03/2017,10:00 PM
304,15,952,153,1,cash,03/10/2017 17:49,10/03/2017,5:49 PM
305,94,916,268,2,cash,03/29/2017 22:46,29/03/2017,10:46 PM
306,25,701,390,3,cash,03/24/2017 19:36,24/03/2017,7:36 PM
307,34,924,122,1,debit,03/02/2017 17:32,02/03/2017,5:32 PM
308,60,992,354,2,cash,03/12/2017 19:44,12/03/2017,7:44 PM
309,42,770,352,1,credit_card,03/11/2017 18:14,11/03/2017,6:14 PM
310,5,704,284,2,credit_card,03/20/2017 7:50,20/03/2017,7:50 AM
311,79,720,181,1,debit,03/16/2017 3:29,16/03/2017,3:29 AM
312,76,836,310,2,debit,03/22/2017 9:16,22/03/2017,9:16 AM
313,96,718,459,3,cash,03/10/2017 20:06,10/03/2017,8:06 PM
314,24,938,420,3,credit_card,03/14/2017 7:24,14/03/2017,7:24 AM
315,6,712,374,2,credit_card,03/25/2017 11:59,25/03/2017,11:59 AM
316,2,865,282,3,debit,03/17/2017 0:21,17/03/2017,12:21 AM
317,11,880,368,2,credit_card,03/21/2017 14:56,21/03/2017,2:56 PM
318,52,848,292,2,cash,03/30/2017 23:41,30/03/2017,11:41 PM
319,83,951,258,2,debit,03/04/2017 5:10,04/03/2017,5:10 AM
320,23,840,156,1,cash,03/04/2017 3:55,04/03/2017,3:55 AM
321,36,888,260,2,debit,03/15/2017 22:33,15/03/2017,10:33 PM
322,10,877,296,2,credit_card,03/12/2017 7:12,12/03/2017,7:12 AM
323,92,783,90,1,debit,03/08/2017 3:49,08/03/2017,3:49 AM
324,75,893,128,1,credit_card,03/05/2017 0:04,05/03/2017,12:04 AM
325,79,887,181,1,debit,03/19/2017 10:55,19/03/2017,10:55 AM
326,14,779,232,2,credit_card,03/15/2017 7:05,15/03/2017,7:05 AM
327,12,920,201,1,debit,03/26/2017 19:24,26/03/2017,7:24 PM
328,75,832,128,1,credit_card,03/16/2017 12:54,16/03/2017,12:54 PM
329,83,946,258,2,credit_card,03/26/2017 6:35,26/03/2017,6:35 AM
330,36,763,260,2,credit_card,03/21/2017 19:32,21/03/2017,7:32 PM
331,80,990,290,2,cash,03/18/2017 22:26,18/03/2017,10:26 PM
332,40,776,322,2,cash,03/12/2017 15:02,12/03/2017,3:02 PM
333,57,794,441,3,credit_card,03/22/2017 0:43,22/03/2017,12:43 AM
334,68,968,272,2,debit,03/02/2017 15:39,02/03/2017,3:39 PM
335,44,829,432,3,debit,03/23/2017 21:27,23/03/2017,9:27 PM
336,92,853,180,2,cash,03/27/2017 12:53,27/03/2017,12:53 PM
337,18,969,468,3,debit,03/26/2017 0:49,26/03/2017,12:49 AM
338,91,811,640,4,credit_card,03/10/2017 13:14,10/03/2017,1:14 PM
339,52,892,146,1,debit,03/17/2017 5:02,17/03/2017,5:02 AM
340,35,893,656,4,cash,03/15/2017 11:25,15/03/2017,11:25 AM
341,7,826,336,3,debit,03/17/2017 15:13,17/03/2017,3:13 PM
342,54,735,399,3,credit_card,03/17/2017 22:49,17/03/2017,10:49 PM
343,98,999,266,2,cash,03/23/2017 3:32,23/03/2017,3:32 AM
344,63,743,136,1,credit_card,03/07/2017 1:45,07/03/2017,1:45 AM
345,84,726,459,3,credit_card,03/03/2017 12:54,03/03/2017,12:54 PM
346,72,818,160,1,debit,03/05/2017 12:53,05/03/2017,12:53 PM
347,40,758,161,1,credit_card,03/05/2017 2:54,05/03/2017,2:54 AM
348,1,907,158,1,credit_card,03/03/2017 6:59,03/03/2017,6:59 AM
349,31,759,387,3,debit,03/24/2017 2:21,24/03/2017,2:21 AM
350,80,864,145,1,debit,03/25/2017 23:51,25/03/2017,11:51 PM
351,98,958,133,1,cash,03/04/2017 5:55,04/03/2017,5:55 AM
352,34,956,244,2,debit,03/01/2017 10:21,01/03/2017,10:21 AM
353,95,718,336,2,debit,03/14/2017 18:44,14/03/2017,6:44 PM
354,31,923,258,2,debit,03/14/2017 5:30,14/03/2017,5:30 AM
355,3,797,148,1,cash,03/10/2017 18:58,10/03/2017,6:58 PM
356,54,804,266,2,cash,03/19/2017 15:41,19/03/2017,3:41 PM
357,14,806,232,2,credit_card,03/28/2017 15:04,28/03/2017,3:04 PM
358,33,790,519,3,credit_card,03/11/2017 17:23,11/03/2017,5:23 PM
359,14,852,232,2,debit,03/17/2017 13:35,17/03/2017,1:35 PM
